playerID,name,hits,age,team_ID,lg_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,TB,GIDP,HBP,SH,SF,IBB,pos_season,award_summary
runyase01,Sean Runyan,Left,24,DET,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,
yanes01,Esteban Yan,Right,23,TBD,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,
botteke01,Kent Bottenfield,Right,29,STL,NL,42,39,34,3,3,0,0,0,2,0,0,0,9,0.088,0.088,0.088,0.176,-53,3,0,0,5,0,0,1,
assenpa01,Paul Assenmacher,Left,37,CLE,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,
nomohi01,Hideo Nomo,Right,29,TOT,NL,28,55,50,4,9,0,0,1,5,0,0,1,17,0.18,0.196,0.24,0.436,16,12,0,0,4,0,0,1,
wittbo01,Bobby Witt,Right,34,TOT,MLB,17,13,11,0,2,1,0,0,1,0,0,1,5,0.182,0.25,0.273,0.523,38,3,0,0,1,0,0,1/H,
rockejo01,John Rocker,Right,23,ATL,NL,45,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,
maddugr01,Greg Maddux,Right,32,ATL,NL,31,85,75,4,18,3,0,0,4,0,1,4,18,0.24,0.278,0.28,0.558,48,21,0,0,6,0,0,1,"AS,CYA-4,GG"
glavito02,Tom Glavine,Left,32,ATL,NL,32,86,71,3,17,3,0,0,7,0,0,1,15,0.239,0.25,0.282,0.532,40,20,0,0,14,0,0,1,"AS,CYA-1,MVP-21,SS"
stottto01,Todd Stottlemyre,Left,33,TOT,MLB,22,62,53,3,12,0,0,0,1,0,0,4,24,0.226,0.281,0.226,0.507,36,12,1,0,5,0,0,1,
ericksc01,Scott Erickson,Right,30,BAL,AL,2,6,2,2,0,0,0,0,0,0,0,3,2,0,0.6,0,0.6,78,0,0,0,1,0,0,1,
sirotmi01,Mike Sirotka,Left,27,CHW,AL,2,5,4,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0.2,-41,0,0,0,0,0,0,1,
groombu01,Buddy Groom,Left,32,OAK,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,
ayalabo01,Bobby Ayala,Right,28,SEA,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,
slocuhe01,Heathcliff Slocumb,Right,32,SEA,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,
plunker01,Eric Plunk,Right,34,TOT,MLB,31,2,1,1,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,47,0,0,0,0,0,0,1,
rogerke01,Kenny Rogers,Left,33,OAK,AL,2,4,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,1,
woodke02,Kerry Wood,Right,21,CHC,NL,24,63,54,3,7,0,0,2,8,0,0,1,16,0.13,0.145,0.241,0.386,-2,13,0,0,8,0,0,1,RoY-1
tabakje01,Jeff Tabaka,Right,34,PIT,NL,37,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1,
scanlbo01,Bob Scanlan,Right,31,HOU,NL,26,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,
aguilri01,Rick Aguilera,Right,36,MIN,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,
