playerID,name,throws,ERA,W,L,SV,AVG_against,G,GS,CG,IP,ER,H,SO,BB,HBP,WP,BK
perezyo01,Yorkis Perez,Left,3.81,0,2,0,0.20408163265306123,57,0,0,52,22,40,42,25,0,7,0
pettian01,Andy Pettitte,Left,4.24,16,11,0,0.25849250829234816,33,32,5,216.1,102,226,146,87,6,5,0
piscima01,Marc Pisciotta,Right,4.09,1,2,0,0.25,43,0,0,44,20,44,31,32,2,6,0
plunker01,Eric Plunk,Right,4.33,4,3,1,0.26226158038147135,63,0,0,72.2,35,77,74,30,5,1,0
portuma01,Mark Portugal,Right,4.44,10,5,0,0.2718106093818501,26,26,3,166.1,82,186,104,32,4,4,0
reynoar02,Armando Reynoso,Right,3.82,7,3,0,0.2385389489377563,11,11,0,68.1,29,64,40,32,5,2,2
rhodear01,Arthur Rhodes,Left,3.51,4,4,4,0.2195945945945946,45,0,0,77,30,65,83,34,1,1,1
riverma01,Mariano Rivera,Right,1.91,3,0,36,0.20752269779507132,54,0,0,61.1,13,48,36,17,1,0,0
rockejo01,John Rocker,Left,2.13,1,3,2,0.16176470588235295,47,0,0,38,9,22,42,22,3,6,0
rogerke01,Kenny Rogers,Left,3.17,16,8,0,0.23128227194492257,34,34,7,238.2,84,215,138,67,7,5,2
runyase01,Sean Runyan,Left,3.58,1,4,1,0.2382159148504815,88,0,0,50.1,20,47,39,28,2,5,0
ryanke01,Ken Ryan,Right,4.37,0,0,0,0.2397260273972603,17,1,0,22.2,11,21,16,20,1,4,0
saundto01,Tony Saunders,Left,4.12,6,15,0,0.2489248012511404,31,31,2,192.1,88,191,172,111,7,2,1
scanlbo01,Bob Scanlan,Right,3.08,0,1,0,0.2346041055718475,27,0,0,26.1,9,24,9,13,1,5,0
schilcu01,Curt Schilling,Right,3.25,15,14,0,0.22679223524889489,35,35,15,268.2,97,236,300,61,6,12,0
seleaa01,Aaron Sele,Right,4.23,19,11,0,0.27295568752855187,33,33,3,212.2,100,239,167,84,13,4,0
shawje01,Jeff Shaw,Right,2.12,3,8,48,0.22727272727272727,73,0,0,85,20,75,55,19,1,0,0
shueypa01,Paul Shuey,Right,3,5,4,2,0.2233502538071066,43,0,0,51,17,44,58,25,3,3,0
sirotmi01,Mike Sirotka,Left,5.06,14,15,0,0.286968264686023,33,33,5,211.2,119,255,128,47,2,3,1
slocuhe01,Heathcliff Slocumb,Right,5.32,2,5,3,0.2631578947368421,57,0,0,67.2,40,72,51,44,1,10,0
spradje01,Jerry Spradlin,Right,3.53,4,4,1,0.2054794520547945,69,0,0,81.2,32,63,76,20,2,6,1
stottto01,Todd Stottlemyre,Right,3.74,14,13,0,0.24384685505925252,33,33,3,221.2,92,214,204,81,4,5,2
swindgr01,Greg Swindell,Left,3.59,5,6,2,0.2539332045266354,81,0,0,90.1,36,92,63,31,3,3,0
tabakje01,Jeff Tabaka,Left,3.02,2,2,0,0.197228144989339,37,0,0,50.2,17,37,40,22,5,1,0
wakefti01,Tim Wakefield,Right,4.58,17,8,0,0.24563445867287545,36,33,2,216,110,211,146,79,14,6,1
winstda01,Darrin Winston,Left,6.12,2,2,1,0.29245283018867924,27,0,0,25,17,31,11,6,2,1,0
wittbo01,Bobby Witt,Right,6.56,7,9,0,0.3008423586040914,31,18,0,116.2,85,150,58,53,2,3,2
woodke02,Kerry Wood,Right,3.4,13,6,0,0.19005847953216376,26,26,1,166.2,63,117,233,85,11,6,3
yanes01,Esteban Yan,Right,3.86,5,4,1,0.2276707530647986,64,0,0,88.2,38,78,77,41,5,6,0
yoshima01,Masato Yoshii,Right,3.93,6,8,0,0.24426133019423193,29,29,1,171.2,75,166,117,53,6,5,1
