playerID,name,hits,AVG,SLG,OBA,G,AB,R,H,RBI,2B,3B,HR,SAC,SB,CS,SO,BB,HBP,TB
clemero02,Roger Clemens,Right,0,0,0.2,2,4,0,0,0,0,0,0,1,0,0,0,1,0,0
colonba01,Bartolo Colon,Right,0.5,0.5,0.5,1,2,0,1,1,0,0,0,0,0,0,1,0,0,1
coninje01,Jeff Conine,Right,0.255663430420712,0.4174757281553398,0.31750741839762614,93,309,30,79,43,26,0,8,6,3,0,68,26,2,129
cookde01,Dennis Cook,Left,0,0,0,70,3,0,0,0,0,0,0,0,0,0,0,0,0,0
daalom01,Omar Daal,Left,0.10869565217391304,0.10869565217391304,0.19607843137254902,33,46,3,5,1,0,0,0,5,0,0,17,5,0,5
darwida01,Danny Darwin,Right,0.08888888888888889,0.1111111111111111,0.1276595744680851,32,45,2,4,1,1,0,0,4,0,0,30,1,1,5
davisch01,Chili Davis,Both,0.2912621359223301,0.44660194174757284,0.37606837606837606,35,103,11,30,9,7,0,3,1,0,1,18,14,0,46
duceyro01,Rob Ducey,Left,0.23963133640552994,0.41013824884792627,0.3373493975903614,97,217,30,52,23,18,2,5,1,4,3,61,23,9,89
durhara01,Ray Durham,Both,0.28503937007874014,0.45511811023622045,0.3641456582633053,158,635,126,181,67,35,8,19,9,36,9,105,73,6,289
edmonji01,Jim Edmonds,Left,0.3071786310517529,0.5058430717863105,0.3683409436834094,154,599,115,184,91,42,1,25,2,7,5,114,57,1,303
elsteke01,Kevin Elster,Right,0.23232323232323232,0.35353535353535354,0.3132530120481928,84,297,33,69,37,10,1,8,4,0,2,66,33,2,105
encarju01,Juan Encarnacion,Right,0.32926829268292684,0.5609756097560976,0.36046511627906974,40,164,30,54,21,9,4,7,3,7,4,31,7,1,92
ericksc01,Scott Erickson,Right,0,0,0.6,2,2,2,0,0,0,0,0,1,0,0,2,3,0,0
erstada01,Darin Erstad,Left,0.29608938547486036,0.4860335195530726,0.35494880546075086,133,537,84,159,82,39,3,19,4,20,6,77,43,6,261
estalbo02,Bobby Estalella,Right,0.18787878787878787,0.38181818181818183,0.25139664804469275,47,165,16,31,20,6,1,8,3,0,0,49,13,1,63
fieldce01,Cecil Fielder,Right,0.23317307692307693,0.4014423076923077,0.32558139534883723,117,416,49,97,68,17,1,17,3,0,1,111,53,4,167
francjo01,John Franco,Left,0,0,0,58,2,0,0,0,0,0,0,0,0,0,1,0,0,0
frymatr01,Travis Fryman,Right,0.2872531418312388,0.5044883303411131,0.34271523178807944,146,557,74,160,96,33,2,28,4,10,8,125,44,3,281
gaettga01,Gary Gaetti,Right,0.28110599078341014,0.49539170506912444,0.3593429158110883,128,434,60,122,70,34,1,19,5,1,1,62,43,10,215
galaran01,Andres Galarraga,Right,0.3045045045045045,0.5945945945945946,0.39968895800933124,153,555,103,169,121,27,1,44,5,7,6,146,63,25,330
gantro01,Ron Gant,Right,0.2402088772845953,0.4934725848563969,0.33256880733944955,121,383,60,92,67,17,1,26,2,8,0,92,51,2,189
garcino01,Nomar Garciaparra,Right,0.3228476821192053,0.5844370860927153,0.36589147286821705,143,604,111,195,122,37,8,35,7,12,6,62,33,8,353
giambja01,Jason Giambi,Left,0.29537366548042704,0.4893238434163701,0.3888888888888889,153,562,92,166,110,28,0,27,9,2,2,102,81,5,275
gilkebe01,Bernard Gilkey,Right,0.2328767123287671,0.3150684931506849,0.3220338983050847,111,365,41,85,33,15,0,5,6,9,3,80,43,5,115
girarjo01,Joe Girardi,Right,0.27559055118110237,0.3858267716535433,0.31851851851851853,78,254,31,70,31,11,4,3,9,2,4,38,14,2,98
glanvdo01,Doug Glanville,Right,0.27876106194690264,0.37610619469026546,0.32644628099173556,158,678,106,189,49,28,7,8,9,23,6,89,42,6,255
glavito02,Tom Glavine,Left,0.23943661971830985,0.28169014084507044,0.25,32,71,3,17,7,3,0,0,14,0,0,15,1,0,20
