playerID,name,AVG,SLG,OBA,G,AB,R,H,RBI,2B,3B,HR,SAC,SB,CS,SO,BB,E,PH,HBP,PB,TB
estalbo02,Bobby Estalella,0.208333333,0.458333333,0.24,8,24,4,5,4,,,2,,,,6,1,1,,,,11
fieldce01,Cecil Fielder,0.3,0.4,0.5,4,10,1,3,1,1,,,,,,1,4,,,,,4
francjo01,John Franco,,,1,7,,,,,,,,,,,,1,,,,,0
frymatr01,Travis Fryman,0.222222222,0.574074074,0.25,14,54,9,12,11,4,,5,,,,4,2,3,,,,31
gaettga01,Gary Gaetti,0.125,0.1875,0.125,7,16,,2,2,1,,,,,,2,,,1,,,3
galaran01,Andres Galarraga,0.384615385,0.646153846,0.428571429,16,65,12,25,10,2,,5,,,1,17,4,1,,1,,42
gantro01,Ron Gant,0.233333333,0.5,0.258064516,8,30,3,7,3,2,,2,,,1,10,1,4,,,,15
garcino01,Nomar Garciaparra,0.326086957,0.413043478,0.392156863,11,46,5,15,4,4,,,,,,4,4,2,,1,,19
giambja01,Jason Giambi,0.375,0.375,0.444444444,4,8,,3,,,,,,,,2,1,2,,,,3
gilkebe01,Bernard Gilkey,0,0,0.25,7,3,1,,,,,,,,,2,1,,,,,0
girarjo01,Joe Girardi,0.315789474,0.368421053,0.380952381,5,19,2,6,1,1,,,,,,2,2,,,,,7
glanvdo01,Doug Glanville,0.246376812,0.333333333,0.277777778,17,69,11,17,2,1,1,1,,2,,13,3,,1,,,23
glavito02,Tom Glavine,0.181818182,0.363636364,0.181818182,4,11,2,2,,2,,,,,,4,,,,,,4
gomeswa01,Wayne Gomes,,,,6,,,,,,,,,,,,,,,,,0
gonzaju03,Juan Gonzalez,0.277777778,0.703703704,0.327586207,13,54,10,15,14,3,1,6,,,,14,2,3,,2,,38
gracemi02,Mike Grace,0,0,0,2,1,,,,,,,,,,1,,,,,,
greensh01,Shawn Green,0.157894737,0.368421053,0.2,6,19,2,3,5,1,,1,,,,7,,,,1,,7
greenty01,Tyler Green,0,0,0,3,2,,,,,,,,,,,,,,,,0
griffke02,Ken Griffey Jr.,0.222222222,0.37037037,0.288135593,14,54,6,12,10,5,,1,1,1,,7,5,,,,,20
grissma02,Marquis Grissom,0.289473684,0.421052632,0.325,11,38,6,11,5,2,,1,,,,3,2,,1,,,16
groombu01,Buddy Groom,,,,2,,,,,,,,,,,,,,,,,0
guerrvl01,Vladimir Guerrero,0.230769231,0.269230769,0.285714286,9,26,2,6,3,1,,,,,,3,2,1,,,,7
guthrma01,Mark Guthrie,,,,6,,,,,,,,,,,,,,,,,0
hammoje01,Jeffrey Hammonds,0.090909091,0.181818182,0.090909091,4,11,,1,1,1,,,,,1,1,,,,,,2
heltoto01,Todd Helton,0.285714286,0.535714286,0.322033898,15,56,7,16,13,5,,3,,,1,8,3,,1,,,30
henderi01,Rickey Henderson,0.294117647,0.382352941,0.4,10,34,8,10,6,3,,,,,2,9,5,,,1,,13
hershor01,Orel Hershiser,0.4,0.6,0.5,3,5,1,2,,1,,,,,,1,1,,,,,3
jeffegr01,Gregg Jefferies,0.357142857,0.476190476,0.372093023,11,42,5,15,9,2,,1,1,3,1,3,1,1,,,,20
jeterde01,Derek Jeter,0.258064516,0.435483871,0.292307692,14,62,9,16,5,5,,2,,2,,15,3,2,,,,27
jonesan01,Andruw Jones,0.236842105,0.473684211,0.30952381,13,38,6,9,4,,,3,,,2,9,3,,,1,,18
jonesch06,Chipper Jones,0.223880597,0.432835821,0.277777778,16,67,10,15,6,5,,3,,,,11,5,,,,,29
jordake01,Kevin Jordan,0.25,0.285714286,0.25,10,28,1,7,3,1,,,,,,6,,1,1,,,8
justida01,David Justice,0.255319149,0.446808511,0.385964912,14,47,8,12,7,3,,2,,,,10,10,2,,,,21
karroer01,Eric Karros,0.4,0.733333333,0.470588235,5,15,2,6,2,2,,1,,,,5,2,,,,,11
kendaja01,Jason Kendall,0.317073171,0.390243902,0.404255319,13,41,6,13,6,1,1,,1,2,2,6,2,4,1,4,,16
kentje01,Jeff Kent,0.258064516,0.548387097,0.378378378,10,31,7,8,5,3,,2,,,,7,5,1,,1,,17
kileda01,Darryl Kile,0,0,0.25,3,3,,,,,,,,,,1,1,,,,,0
kleskry01,Ryan Klesko,0,0,0.111111111,5,8,,,,,,,,,,2,1,,,,,0
klinest02,Steve Kline,,,,6,,,,,,,,,,,,,,,,,0
knoblch01,Chuck Knoblauch,0.238095238,0.380952381,0.37254902,11,42,9,10,2,4,1,,,,1,9,7,,,2,,16
knorrra01,Randy Knorr,0.352941176,0.588235294,0.45,5,17,4,6,3,1,,1,,,1,2,2,,,1,,10
langsma01,Mark Langston,0,0,0,3,2,,,,,,,,,,2,,1,,,,0
lankfra01,Ray Lankford,0.394736842,0.631578947,0.488888889,10,38,4,15,11,4,1,1,,1,1,6,6,,,1,,24
lansimi01,Mike Lansing,0.5,0.5,0.6,8,4,1,2,1,,,,,,,1,1,,2,,,2
larkiba01,Barry Larkin,0.23943662,0.436619718,0.260273973,15,71,10,17,6,3,1,3,,1,,11,2,,,,,31
ledesaa01,Aaron Ledesma,0.5,0.6,0.545454545,6,10,,5,1,1,,,,,,,1,1,2,,,6
leitema01,Mark Leiter,,,,6,,,,,,,,,,,,,,,,,0
lewisma01,Mark Lewis,0.090909091,0.121212121,0.142857143,14,33,1,3,,1,,,,,,9,2,,,,,4
leyriji01,Jim Leyritz,0.259259259,0.444444444,0.428571429,9,27,6,7,6,,1,1,,,,8,8,2,,,2,12
liebemi01,Mike Lieberthal,0.21875,0.25,0.21875,9,32,,7,1,1,,,,1,2,4,,,,,1,8
loeweca01,Carlton Loewer,0,0,0,1,1,,,,,,,,,,,,,,,,0
loftoke01,Kenny Lofton,0.295081967,0.360655738,0.348484848,14,61,14,18,8,4,,,,1,1,14,5,1,,,,22
lopezja01,Javy Lopez,0.243902439,0.536585366,0.311111111,12,41,9,10,10,,,4,,,,6,3,2,,1,,22
lukema01,Matt Luke,0,0,0,2,2,,,,,,,,,,1,,,,,,0
mabryjo01,John Mabry,0.157894737,0.421052632,0.2,9,19,1,3,4,2,,1,,,1,3,1,2,,,,8
maddugr01,Greg Maddux,0,0,0,2,6,,,,,,,,,,1,,,,,,0
mageewe01,Wendell Magee,0.285714286,0.285714286,0.318181818,5,21,1,6,1,,,,,,,3,1,,,,,6
mantema01,Matt Mantei,,,,5,,,,,,,,,,,,,,,,,0
martipe02,Pedro Martinez,0,0,0.142857143,4,6,,,,,,,2,,,4,1,1,,,,0
martira02,Ramon Martinez,0,0,0,3,5,,,,,,,,,,4,,,,,,0
mcelrch01,Chuck McElroy,,,,3,,1,,,,,,,,,,,,,,,0
mcgwima01,Mark McGwire,0.333333333,0.921568627,0.46031746,14,51,14,17,20,3,,9,1,,,19,11,,,1,,47
mclemma01,Mark McLemore,0.181818182,0.227272727,0.307692308,8,22,5,4,2,1,,,,,,3,4,,,,,5
mcmicgr01,Greg McMichael,,,,1,,,,,,,,,,,,,,,,,0
molitpa01,Paul Molitor,0,0,0,5,4,1,,,,,,,,,,,,,,,0
mondera01,Raul Mondesi,0.264150943,0.396226415,0.290909091,12,53,8,14,7,2,1,1,,,,13,2,,,,,21
moranmi01,Mickey Morandini,0.315789474,0.315789474,0.380952381,16,57,9,18,3,,,,1,6,1,4,5,1,,1,,18
mussimi01,Mike Mussina,0,0,0,4,5,,,,,,,,,,2,,,,,,0
myersra01,Randy Myers,,,,4,,,,,,,,,,,,,,,,,0
nenro01,Robb Nen,0,0,0,5,2,,,,,,,1,,,1,,,,,,0
