playerID,name,throws,ERA,W,L,SV,AVG_against,G,GS,CG,IP,ER,H,SO,BB,HBP,WP,BK,GameG,GameIP,GameER,GameHits,GameSO,GameW,GameL,GameSV,GameBB,ER_should_have,Hits_should_have,SO_should_have,W_should_have,L_should_have,SV_should_have,BB_should_have,ER_deviation,Hits_deviation,SO_deviation,W_deviation,L_deviation,SV_deviation,BB_deviation
aguilri01,Rick Aguilera,Right,4.24,4,9,38,0.25227043390514636,68,0,0,74.1,35,75,57,15,1,1,0,6,5.33,2,5,4,1,0,0,0,2.511022222222222,5.394736842105263,4.1000000000000005,0.3529411764705882,0.7941176470588236,3.3529411764705883,1.0789473684210529,-0.511022222222222,-0.39473684210526283,-0.10000000000000053,0.6470588235294118,-0.7941176470588236,-3.3529411764705883,-1.0789473684210529
arrojro01,Rolando Arrojo,Right,3.56,14,12,0,0.24344569288389514,32,32,2,202,80,195,152,65,19,3,1,5,17,13,16,10,1,2,0,6,6.724444444444445,16.41089108910891,12.792079207920793,2.1875,1.875,0,5.47029702970297,6.275555555555555,-0.4108910891089117,-2.792079207920793,-1.1875,0.125,0,0.5297029702970297
ashbyan01,Andy Ashby,Right,3.34,17,9,0,0.24733806566104705,33,33,5,226.2,84,223,151,58,7,7,0,4,32.67,21,42,21,2,0,0,3,12.1242,32.20782493368701,21.80888594164456,2.0606060606060606,1.0909090909090908,0,8.37692307692308,8.8758,9.792175066312993,-0.8088859416445615,-0.06060606060606055,-1.0909090909090908,0,-5.376923076923079
assenpa01,Paul Assenmacher,Left,3.26,2,5,3,0.27692307692307694,69,0,0,47,17,54,43,19,1,0,0,5,3.67,0,1,2,1,0,0,2,1.3293555555555554,4.216595744680851,3.357659574468085,0.14492753623188406,0.36231884057971014,0.21739130434782608,1.4836170212765956,-1.3293555555555554,-3.216595744680851,-1.357659574468085,0.855072463768116,-0.36231884057971014,-0.21739130434782608,0.5163829787234044
averyst01,Steve Avery,Left,5.02,10,7,0,0.2572347266881029,34,23,0,123.2,69,128,57,64,4,7,0,2,12,7,16,6,0,0,0,5,6.6933333333333325,12.467532467532466,5.551948051948052,0.5882352941176471,0.4117647058823529,0,6.233766233766233,0.30666666666666753,3.5324675324675336,0.4480519480519476,-0.5882352941176471,-0.4117647058823529,0,-1.2337662337662332
ayalabo01,Bobby Ayala,Right,7.29,1,10,8,0.30740854595757766,62,0,0,75.1,61,100,68,26,1,4,0,1,1,0,2,1,0,0,0,0,0.81,1.3315579227696406,0.9054593874833556,0.016129032258064516,0.16129032258064516,0.12903225806451613,0.34620505992010653,-0.81,0.6684420772303594,0.09454061251664436,-0.016129032258064516,-0.16129032258064516,-0.12903225806451613,-0.34620505992010653
beckro01,Rod Beck,Right,3.02,3,4,51,0.263561140055164,81,0,0,80.1,27,86,81,20,2,2,0,5,7.33,4,6,6,0,1,2,2,2.4596222222222224,7.869912609238454,7.412359550561798,0.18518518518518517,0.24691358024691357,3.1481481481481484,1.830212234706617,1.5403777777777776,-1.8699126092384537,-1.4123595505617983,-0.18518518518518517,0.7530864197530864,-1.1481481481481484,0.16978776529338302
beechma01,Matt Beech,Left,5.15,3,9,0,0.2641509433962264,21,21,0,117,67,126,113,63,4,8,0,4,11.33,13,26,15,1,1,0,12,6.483277777777778,12.201538461538462,10.942649572649573,0.5714285714285714,1.7142857142857142,0,6.100769230769231,6.516722222222222,13.798461538461538,4.057350427350427,0.4285714285714286,-0.7142857142857142,0,5.899230769230769
belchti01,Tim Belcher,Right,4.27,14,14,0,0.2602739726027397,34,34,2,234,111,247,130,73,7,6,1,3,20.33,12,24,16,1,2,0,7,9.645455555555554,21.459444444444443,11.294444444444444,1.2352941176470589,1.2352941176470589,0,6.342264957264957,2.3545444444444463,2.5405555555555566,4.705555555555556,-0.23529411764705888,0.7647058823529411,0,0.6577350427350428
belinst01,Stan Belinda,Right,3.23,4,8,1,0.2006105538595726,40,0,0,61.1,22,46,57,28,1,3,0,6,6.33,10,15,3,0,0,0,2,2.2717666666666667,4.765630114566285,5.905237315875613,0.6000000000000001,1.2000000000000002,0.15000000000000002,2.9008183306055644,7.728233333333334,10.234369885433715,-2.9052373158756133,-0.6000000000000001,-1.2000000000000002,-0.15000000000000002,-0.9008183306055644
